epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,5145.07,1.21895,0.84423,1.30953,0.85118,0.7083,0.81519,0.50038,1.03813,1.57282,1.05984,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5266.71,1.19332,0.8246,1.29398,0.63656,0.54644,0.60739,0.32253,1.32695,1.5639,1.34163,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5388.3,1.19423,0.82534,1.29715,0.7701,0.70588,0.80248,0.49006,1.05295,1.79304,1.0899,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5509.85,1.20324,0.83029,1.30719,0.86479,0.76316,0.86473,0.55923,0.91747,1.34477,0.97904,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,5631.36,1.17805,0.82284,1.29201,0.26409,0.33282,0.17434,0.05883,2.06366,2.897,2.22611,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5752.8,1.16805,0.81083,1.28022,0.75798,0.67802,0.76828,0.47314,1.02402,2.55032,1.0724,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5874.28,1.16512,0.79528,1.28086,0.78246,0.74055,0.8055,0.50531,1.02076,2.35089,1.0804,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5995.76,1.14534,0.78954,1.26807,0.84008,0.68266,0.79282,0.45679,1.14172,1.34597,1.15474,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,6117.42,1.1352,0.77604,1.26256,0.46374,0.54799,0.46692,0.21095,1.59056,1.91164,1.64738,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6238.9,1.12521,0.77056,1.25286,0.42056,0.44272,0.34457,0.14552,1.77826,1.71955,1.98526,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,6360.51,1.1092,0.75893,1.24401,0.61358,0.57121,0.55778,0.29125,1.35592,1.80697,1.40366,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6481.82,1.11687,0.76438,1.2512,0.66676,0.61636,0.61647,0.32263,1.33084,2.13739,1.34194,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6603.36,1.10787,0.74572,1.22942,0.80132,0.65325,0.7762,0.46093,1.06536,1.83165,1.09146,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6724.67,1.08232,0.733,1.22485,0.8001,0.67492,0.77534,0.47314,1.06071,1.60181,1.11545,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6846.14,1.08371,0.74093,1.21829,0.73884,0.65325,0.74033,0.45816,1.06104,1.94074,1.08386,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6967.77,1.07439,0.72472,1.21033,0.63119,0.5855,0.60815,0.31537,1.41466,1.60781,1.45722,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7089.25,1.0672,0.71177,1.20771,0.74035,0.67974,0.7146,0.41751,1.20467,1.36214,1.25477,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7210.64,1.06305,0.71562,1.21011,0.78996,0.65789,0.73446,0.43381,1.13008,2.31355,1.18636,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
