epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,5831.2,0.9973,0.62058,1.12777,0.85816,0.72446,0.80995,0.54309,0.88978,0.96627,0.97009,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5938.28,0.99057,0.60489,1.12506,0.88157,0.73747,0.83308,0.57034,0.88506,0.96734,0.96366,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6045.29,0.9851,0.60925,1.12102,0.87128,0.723,0.81381,0.54161,0.90269,0.89909,0.98178,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6152.36,0.9688,0.60418,1.10551,0.86949,0.72194,0.80965,0.51935,0.96515,0.85561,1.01086,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6260.87,0.98119,0.60817,1.11569,0.88811,0.71517,0.83276,0.55382,0.8963,0.94838,0.96515,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6370.42,0.96796,0.59918,1.10683,0.88711,0.66906,0.77639,0.51073,0.94176,0.91828,0.99661,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6479.95,0.94829,0.5815,1.09683,0.86432,0.68421,0.77928,0.50419,0.97354,1.08642,1.00738,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6589.42,0.93908,0.58864,1.09635,0.88425,0.75697,0.81259,0.53622,0.93322,0.8747,0.99686,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6699.06,0.94025,0.58546,1.09486,0.87976,0.71356,0.821,0.54631,0.91901,1.08463,0.98305,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6808.45,0.93724,0.57902,1.09389,0.87547,0.68558,0.78323,0.50649,0.96713,1.0039,1.0057,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6917.89,0.91973,0.56667,1.07872,0.90519,0.67183,0.78972,0.51836,0.93469,1.0235,0.98504,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7027.37,0.91452,0.57228,1.07868,0.8793,0.69921,0.81707,0.52448,0.97382,0.94158,1.0228,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7137.07,0.90038,0.55845,1.06796,0.87717,0.69644,0.80854,0.52516,0.92996,0.89197,0.99717,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7246.45,0.89744,0.55724,1.0686,0.91981,0.63924,0.78574,0.50051,0.95284,0.9507,1.00899,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7355.93,0.89323,0.55817,1.0658,0.85371,0.72271,0.80558,0.51989,0.95891,0.88026,0.99866,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7465.36,0.895,0.54885,1.0655,0.86806,0.72312,0.81653,0.5405,0.9205,0.81425,0.98369,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7574.88,0.8784,0.54352,1.05755,0.88286,0.68832,0.78995,0.51841,0.93862,1.02078,0.99966,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7684.24,0.88178,0.54303,1.05728,0.87018,0.70556,0.79004,0.51474,0.94689,1.02779,0.99748,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7793.81,0.87924,0.54419,1.06095,0.88073,0.70869,0.80307,0.52422,0.96282,0.90218,1.00352,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7903.33,0.85368,0.52938,1.04089,0.89411,0.70583,0.79282,0.5236,0.95029,0.87319,0.99148,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,8012.85,0.84902,0.52445,1.04099,0.90987,0.67647,0.78081,0.51712,0.92629,0.92573,0.98187,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,8122.3,0.84278,0.52254,1.03844,0.88445,0.69908,0.79734,0.52581,0.92758,0.87235,0.98619,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,8231.72,0.84381,0.52739,1.03925,0.88401,0.66873,0.76182,0.49329,0.9688,0.93459,1.01885,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,8341.32,0.83301,0.51701,1.02865,0.88665,0.68111,0.77975,0.52401,0.93795,0.90721,0.99128,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,8450.62,0.82621,0.51104,1.02716,0.88144,0.6905,0.80577,0.52858,0.95503,0.88576,1.00402,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,8559.9,0.83023,0.50984,1.03206,0.86512,0.69195,0.7927,0.51581,0.96112,1.02257,1.01538,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
