epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4714.7,1.51911,1.28047,1.5427,0.83674,0.6935,0.7907,0.55907,0.80863,1.93155,0.91553,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4816.01,1.52025,1.27822,1.54179,0.84328,0.70743,0.808,0.57926,0.81855,2.17359,0.91675,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4917.29,1.49797,1.2667,1.52371,0.85924,0.69969,0.81671,0.54897,0.88845,2.10074,0.95546,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5018.53,1.51692,1.26141,1.5381,0.7643,0.5,0.55715,0.34667,0.99045,8.28943,1.01243,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5119.67,1.51091,1.2648,1.52466,0.83095,0.63153,0.73129,0.49812,0.87606,1.6312,0.94333,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5220.71,1.49881,1.23311,1.52191,0.85096,0.69823,0.79189,0.56131,0.82095,1.68956,0.92531,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5321.84,1.50825,1.25592,1.53242,0.8237,0.68266,0.78037,0.52142,0.8959,2.46006,0.95178,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5423.43,1.50031,1.25348,1.5289,0.85714,0.65789,0.76953,0.54568,0.83485,1.46034,0.94262,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5524.7,1.49526,1.21431,1.50961,0.86493,0.7291,0.82149,0.57872,0.8155,1.7387,0.90985,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5626.07,1.49039,1.22471,1.51312,0.83082,0.62074,0.72527,0.50237,0.85759,3.49275,0.92265,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5727.3,1.47444,1.19308,1.50765,0.80257,0.60409,0.68046,0.46247,0.91162,3.72814,0.95352,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5828.7,1.46174,1.20409,1.4973,0.86235,0.67183,0.80506,0.56342,0.82501,1.9048,0.91598,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5930.03,1.48055,1.19082,1.50122,0.86445,0.65944,0.76857,0.56324,0.77214,1.63387,0.89916,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6031.1,1.45294,1.20149,1.49599,0.82554,0.75448,0.83816,0.59104,0.81593,3.24376,0.9078,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6132.28,1.45766,1.21469,1.4965,0.86688,0.67337,0.76308,0.53689,0.85253,1.8648,0.94965,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6233.51,1.45816,1.18537,1.49229,0.85471,0.69207,0.80494,0.57199,0.82611,1.51199,0.92196,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6334.73,1.4454,1.18393,1.48961,0.88371,0.66873,0.76945,0.54696,0.82513,2.1708,0.91209,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6436.07,1.44119,1.18744,1.48982,0.87143,0.71344,0.82941,0.56627,0.87174,1.98488,0.9503,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6537.41,1.44822,1.20069,1.48293,0.79963,0.58072,0.68136,0.44603,0.949,5.40993,0.96749,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6638.66,1.44343,1.18518,1.49351,0.88598,0.68564,0.80843,0.56603,0.81849,1.84646,0.91227,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6739.91,1.43884,1.16056,1.47614,0.87215,0.66409,0.79141,0.56414,0.79833,2.19033,0.91279,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,6840.99,1.44668,1.16881,1.49175,0.89775,0.6935,0.81172,0.58422,0.80023,1.11591,0.91515,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6942.16,1.417,1.1452,1.45526,0.83795,0.66437,0.75385,0.53469,0.81902,1.19248,0.90853,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7043.4,1.42635,1.15204,1.4754,0.87772,0.71112,0.81707,0.56682,0.84685,1.2816,0.92938,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7144.5,1.42669,1.13669,1.46058,0.90795,0.67183,0.79332,0.5374,0.89505,1.14236,0.93836,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7245.81,1.43116,1.13428,1.46569,0.84205,0.68498,0.77466,0.55481,0.80932,1.33792,0.91428,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7347.09,1.42978,1.12453,1.47193,0.83663,0.69659,0.76907,0.5382,0.85071,1.26652,0.93041,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7448.49,1.4001,1.11755,1.4516,0.85165,0.65762,0.74948,0.53579,0.81774,1.52565,0.91401,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7549.8,1.40078,1.09646,1.44891,0.85196,0.71267,0.79114,0.53952,0.86994,1.64106,0.92884,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7651.04,1.39124,1.10405,1.44266,0.84384,0.68594,0.78199,0.54042,0.83729,1.88123,0.91921,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7752.35,1.38712,1.10355,1.4437,0.83915,0.7322,0.80672,0.54973,0.84851,2.40034,0.92613,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7853.75,1.39112,1.10014,1.43056,0.87707,0.67372,0.78776,0.54814,0.83422,1.3496,0.89925,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7954.9,1.38986,1.0903,1.44932,0.87842,0.71362,0.81438,0.56404,0.8552,1.51596,0.92412,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
