epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,6677.51,0.94205,0.57086,1.09298,0.8546,0.74923,0.8276,0.53128,0.96412,1.03826,0.99738,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6776.73,0.92199,0.56565,1.07963,0.87485,0.76316,0.83034,0.52816,0.98516,1.3677,1.01129,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6875.91,0.90939,0.55186,1.07478,0.85157,0.76161,0.83153,0.52718,0.97269,1.46846,1.01012,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,6974.9,0.90162,0.5477,1.07133,0.86546,0.75697,0.81658,0.51143,0.99296,1.10125,1.02453,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7074.03,0.90006,0.55616,1.06836,0.87654,0.75077,0.83713,0.53238,0.97145,1.36454,1.00446,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7173.04,0.89704,0.55155,1.06968,0.87303,0.75572,0.8372,0.52921,0.99189,1.20664,1.0265,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7271.78,0.88801,0.53973,1.05805,0.87104,0.73994,0.82944,0.53564,0.9419,1.26554,0.98391,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7370.7,0.87596,0.53225,1.05319,0.84852,0.77709,0.84343,0.54391,0.95302,1.24498,0.99166,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7469.46,0.87312,0.53242,1.05361,0.87262,0.72136,0.82564,0.50578,1.02,1.21334,1.03369,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7568.31,0.86248,0.51971,1.0493,0.87477,0.71368,0.81221,0.53237,0.97884,1.04314,1.0217,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7667.39,0.86301,0.51716,1.04708,0.85126,0.73839,0.81489,0.51748,0.9952,1.07466,1.01573,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7766.42,0.84681,0.51608,1.03908,0.88315,0.7254,0.8287,0.54043,0.93493,1.34532,0.98554,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,7865.31,0.85447,0.51907,1.04024,0.87228,0.75232,0.83484,0.53225,0.96498,1.25659,1.00332,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
