epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,6722.05,0.97689,0.62172,1.12961,0.87432,0.75387,0.8462,0.54136,0.95717,1.45053,0.99573,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6835.24,0.98427,0.62003,1.13428,0.864,0.78947,0.8769,0.56261,0.9331,0.93239,1.00311,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6948.85,0.97891,0.61564,1.13073,0.88576,0.74411,0.84885,0.55397,0.93202,0.98662,0.99997,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,7063.42,0.97915,0.61582,1.13189,0.87218,0.72291,0.82317,0.52831,0.97092,1.99375,1.00886,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,7175.95,0.94973,0.59666,1.10951,0.88388,0.73053,0.83343,0.52338,0.98449,1.15312,1.02282,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,7288.52,0.96239,0.60323,1.11866,0.86572,0.74458,0.84866,0.54553,0.93877,1.02952,1.00287,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7401.04,0.94939,0.59967,1.11381,0.94574,0.76316,0.87083,0.55822,0.95916,1.16635,1.01578,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7514.29,0.9291,0.58245,1.10153,0.92119,0.72446,0.83388,0.55458,0.90736,1.14849,0.9828,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7626.9,0.9178,0.57954,1.09342,0.88668,0.79102,0.86016,0.54831,0.95122,0.91125,1.0044,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7740.06,0.92687,0.58665,1.09848,0.8349,0.79257,0.83567,0.5364,0.95235,1.26137,1.01325,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7851.64,0.91649,0.58022,1.09435,0.89186,0.7915,0.86801,0.5609,0.93778,1.17725,0.99831,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7963.95,0.91533,0.57837,1.09127,0.86821,0.76481,0.83972,0.55466,0.90944,0.87042,0.98202,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,8075.76,0.90012,0.56687,1.08622,0.86105,0.78661,0.8394,0.53008,0.97952,1.0666,1.02966,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,8188.79,0.90718,0.57575,1.08541,0.87155,0.77399,0.84621,0.53721,0.97087,1.00228,1.03721,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,8302.08,0.88628,0.55645,1.08157,0.8743,0.78597,0.85023,0.52396,0.99725,1.17752,1.04987,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,8415.8,0.88983,0.56097,1.07631,0.86665,0.7847,0.84768,0.55324,0.92409,0.88509,0.98776,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,8528.47,0.88086,0.55172,1.07118,0.84969,0.77245,0.83418,0.54361,0.94876,1.23439,1.01507,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,8641.29,0.88056,0.55664,1.07374,0.83306,0.76161,0.82966,0.53862,0.92317,1.82479,1.01675,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
